Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Doctorate       | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Some-college    | 44h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Assoc-voc       | 60h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-voc       | 48h/semana
Local-gov       | Assoc-acdm      | 48h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | 11th            | 50h/semana
Local-gov       | Some-college    | 66h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Some-college    | 72h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 90h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-acdm      | 44h/semana
Local-gov       | Bachelors       | 80h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 48h/semana
Local-gov       | HS-grad         | 52h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Doctorate       | 52h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Prof-school     | 60h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 55h/semana
Local-gov       | Some-college    | 46h/semana
Local-gov       | Assoc-voc       | 56h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Masters         | 65h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | 12th            | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Masters         | 80h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | 10th            | 65h/semana
Local-gov       | Some-college    | 44h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 52h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 48h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Assoc-voc       | 70h/semana
Local-gov       | Masters         | 42h/semana
Local-gov       | HS-grad         | 42h/semana
Local-gov       | Bachelors       | 70h/semana
Local-gov       | Masters         | 48h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Assoc-voc       | 48h/semana
Local-gov       | Assoc-voc       | 42h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | 11th            | 50h/semana
Local-gov       | Some-college    | 70h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Some-college    | 55h/semana
Local-gov       | Masters         | 80h/semana
Local-gov       | Masters         | 65h/semana
Local-gov       | Assoc-voc       | 56h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | HS-grad         | 53h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 58h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 48h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Prof-school     | 60h/semana
Local-gov       | HS-grad         | 96h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 70h/semana
Local-gov       | Some-college    | 99h/semana
Local-gov       | Some-college    | 43h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | 7th-8th         | 55h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 54h/semana
Local-gov       | Bachelors       | 43h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | HS-grad         | 48h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 80h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | HS-grad         | 42h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Doctorate       | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Assoc-voc       | 46h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | HS-grad         | 47h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 55h/semana
Local-gov       | HS-grad         | 52h/semana
Local-gov       | HS-grad         | 72h/semana
Local-gov       | Assoc-voc       | 48h/semana
Local-gov       | Prof-school     | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 52h/semana
Local-gov       | Some-college    | 42h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 44h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Bachelors       | 46h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | HS-grad         | 46h/semana
Local-gov       | Some-college    | 75h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Prof-school     | 60h/semana
Local-gov       | HS-grad         | 41h/semana
Local-gov       | HS-grad         | 45h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | HS-grad         | 43h/semana
Local-gov       | Some-college    | 56h/semana
Local-gov       | Doctorate       | 60h/semana
Local-gov       | Some-college    | 44h/semana
Local-gov       | Some-college    | 48h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Bachelors       | 65h/semana
Local-gov       | Assoc-acdm      | 48h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Some-college    | 47h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | HS-grad         | 50h/semana
Local-gov       | Assoc-voc       | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Some-college    | 41h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | Prof-school     | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Masters         | 70h/semana
Local-gov       | Some-college    | 65h/semana
Local-gov       | Assoc-acdm      | 52h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 42h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | HS-grad         | 65h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Some-college    | 55h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Some-college    | 72h/semana
Local-gov       | Masters         | 70h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Assoc-voc       | 44h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Some-college    | 50h/semana
Local-gov       | 9th             | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Prof-school     | 45h/semana
Local-gov       | Bachelors       | 50h/semana
Local-gov       | Masters         | 50h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Bachelors       | 56h/semana
Local-gov       | Assoc-acdm      | 56h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | Bachelors       | 45h/semana
Local-gov       | Masters         | 60h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | Doctorate       | 45h/semana
Local-gov       | Assoc-acdm      | 50h/semana
Local-gov       | Some-college    | 42h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | Assoc-acdm      | 56h/semana
Local-gov       | Some-college    | 45h/semana
Local-gov       | HS-grad         | 53h/semana
Local-gov       | Some-college    | 57h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | HS-grad         | 48h/semana
Local-gov       | Bachelors       | 48h/semana
Local-gov       | Doctorate       | 45h/semana
Local-gov       | Assoc-voc       | 60h/semana
Local-gov       | Masters         | 45h/semana
Local-gov       | Bachelors       | 60h/semana
Local-gov       | HS-grad         | 56h/semana
Local-gov       | Bachelors       | 68h/semana
Local-gov       | Bachelors       | 55h/semana
Local-gov       | Some-college    | 60h/semana
Local-gov       | HS-grad         | 60h/semana
Local-gov       | HS-grad         | 60h/semana
